transaction_id,customer_id,product_id,transaction_date,amount,quantity,promo_code,ingestion_timestamp,source_file
T003381,C00430,P0024,2025-07-07,233.97,4,,2025-07-09 00:00:00,batch_2025_01.csv
T000118,C00361,P0054,2025-05-06,$623.69,3,,2025-05-06 21:00:00,batch_2025_01.csv
T001551,C00387,P0041,2025-03-24,$863.70,5,WELCOME5,2025-03-24 02:00:00,batch_2025_01.csv
T001246,C00133,P0034,2025-05-31,$630.41,4,,2025-06-01 14:00:00,batch_2025_01.csv
T003941,C00167,P0116,2025-07-22,27.16,5,WELCOME5,2025-07-23 14:00:00,batch_2025_01.csv
T002508,C00382,P0130,2025-01-06,$488.31,3,,2025-01-07 23:00:00,batch_2025_01.csv
T004645,C00096,P0124,2025-08-26,$155.23,5,,2025-08-27 16:00:00,batch_2025_01.csv
T002289,C00403,P0106,2025-08-24,$601.59,3,,2025-08-26 00:00:00,batch_2025_01.csv
T000691,C00003,P0140,03/26/2025,878.24,3,WELCOME5,2025-03-27 18:00:00,batch_2025_01.csv
T000688,C00122,P0030,2025-03-23,44.71,2,,2025-03-24 13:00:00,batch_2025_01.csv
T000543,C00243,P0036,2025-02-27,154.10,3,SAVE10,2025-02-27 03:00:00,batch_2025_01.csv
T000615,C00323,P0122,2025-05-27,523.70,5,,2025-05-27 04:00:00,batch_2025_01.csv
T001527,C00200,P0134,2025-08-17,875.03,3,,2025-08-18 07:00:00,batch_2025_01.csv
T001382,C00429,P0049,2025-07-08,674.69,3,,2025-07-08 09:00:00,batch_2025_01.csv
T003227,C00423,P0058,2025-06-08,$677.53,1,,2025-06-08 22:00:00,batch_2025_01.csv
T000271,C00468,P0145,2025-04-10,456.13,2,,2025-04-10 18:00:00,batch_2025_01.csv
T003918,C00354,P0119,05/07/2025,60.86,1,,2025-05-07 07:00:00,batch_2025_01.csv
T003299,C00125,P0122,06/03/2025,607.92,3,WELCOME5,2025-06-03 23:00:00,batch_2025_01.csv
T003776,C00128,P0024,2025-02-07,$861.24,1,SAVE10,2025-02-08 07:00:00,batch_2025_01.csv
T004976,C00106,P0082,05/02/2025,$658.53,4,,2025-05-03 12:00:00,batch_2025_01.csv
T001410,C00102,P0132,2025-07-06,733.05,1,,2025-07-07 06:00:00,batch_2025_01.csv
T000493,C00413,P0113,2025-01-06,$662.00,3,,2025-01-07 21:00:00,batch_2025_01.csv
T004145,C00370,P0031,2025-06-03,$228.93,1,,2025-06-04 07:00:00,batch_2025_01_late.csv
T000625,C00139,P0069,2025-03-07,723.67,2,WELCOME5,2025-03-08 18:00:00,batch_2025_01.csv
T002481,C00233,P0079,2025-02-28,248.17,2,,2025-03-01 00:00:00,batch_2025_01.csv
T002321,C00148,P0094,06/26/2025,$768.75,2,,2025-06-27 21:00:00,batch_2025_01.csv
T000080,C00344,P0104,2025-07-25,332.07,2,WELCOME5,2025-07-27 00:00:00,batch_2025_01.csv
T004484,C00258,P0118,08/12/2025,397.50,4,,2025-08-12 06:00:00,batch_2025_01.csv
T001662,C00122,P0064,2025-05-01,443.82,4,,2025-05-01 02:00:00,batch_2025_01.csv
T003101,C00183,P0150,2025-08-11,$146.54,3,WELCOME5,2025-08-11 09:00:00,batch_2025_01.csv
T001395,C00159,P0037,2025-04-28,722.93,2,,2025-04-29 02:00:00,batch_2025_01.csv
T004079,C99999,P0136,2025-01-24,139.37,5,,2025-01-24 14:00:00,batch_2025_01.csv
T000309,C00227,P0055,2025-04-15,$822.78,3,,2025-04-17 00:00:00,batch_2025_01.csv
T002630,C00342,P0121,2025-07-25,25.77,4,WELCOME5,2025-07-26 05:00:00,batch_2025_01.csv
T001592,C00364,P0080,08/13/2025,190.75,1,SAVE10,2025-08-14 18:00:00,batch_2025_01.csv
T002474,C00171,P0090,02/12/2025,202.60,1,,2025-02-13 21:00:00,batch_2025_01.csv
T002213,C00047,P0035,01/19/2025,$894.37,3,,2025-01-20 01:00:00,batch_2025_01.csv
T004580,C00282,P0110,2025-01-09,439.64,1,,2025-01-09 08:00:00,batch_2025_01.csv
T000924,C00145,P0089,04/14/2025,$706.55,1,SAVE10,2025-04-15 02:00:00,batch_2025_01.csv
T001079,C00061,P0044,2025-05-17,$207.75,3,,2025-05-17 16:00:00,batch_2025_01.csv
T002648,C00272,P0005,2025-08-16,700.47,3,WELCOME5,2025-08-17 11:00:00,batch_2025_01_late.csv
T001074,C00467,P0112,04/18/2025,$68.40,1,,2025-04-19 10:00:00,batch_2025_01.csv
T000382,C00239,P0040,2025-08-26,$43.63,5,,2025-08-26 21:00:00,batch_2025_01.csv
T004629,C00456,P0148,2025-05-26,244.36,1,WELCOME5,2025-05-26 22:00:00,batch_2025_01.csv
T004073,C00264,P0070,2025-04-16,339.35,5,,2025-04-16 02:00:00,batch_2025_01.csv
T004676,C00338,P0056,2025-01-11,624.86,1,SAVE10,2025-01-11 19:00:00,batch_2025_01.csv
T000969,C00313,P0111,2025-07-29,686.21,1,,2025-07-30 07:00:00,batch_2025_01.csv
T003874,C00344,P0068,04/21/2025,673.55,2,WELCOME5,2025-04-22 08:00:00,batch_2025_01.csv
T004583,C00193,P0088,08/15/2025,759.86,3,,2025-08-15 14:00:00,batch_2025_01.csv
T000084,C99999,P0100,01/31/2025,$822.88,2,WELCOME5,2025-01-31 17:00:00,batch_2025_01.csv
T002858,C00170,P0100,2025-05-22,797.58,5,SAVE10,2025-05-22 16:00:00,batch_2025_01.csv
T004472,C00202,P0149,04/21/2025,167.16,1,,2025-04-22 21:00:00,batch_2025_01.csv
T004462,C00148,P0035,2025-07-23,43.11,3,,2025-07-23 15:00:00,batch_2025_01.csv
T000333,C99999,P0010,07/07/2025,484.13,5,,2025-07-08 00:00:00,batch_2025_01.csv
T002118,C00137,P0012,2025-02-28,533.25,1,WELCOME5,2025-03-01 22:00:00,batch_2025_01.csv
T001622,C00244,P0087,2025-03-16,$635.61,2,,2025-03-16 20:00:00,batch_2025_01.csv
T000222,C00204,P0056,2025-07-31,871.57,3,,2025-07-31 14:00:00,batch_2025_01.csv
T002900,C00183,P0019,2025-04-01,377.93,3,,2025-04-01 17:00:00,batch_2025_01.csv
T001641,C00165,P0136,07/29/2025,179.83,2,SAVE10,2025-07-29 13:00:00,batch_2025_01.csv
T002668,C00013,P0019,08/15/2025,409.91,1,SAVE10,2025-08-15 02:00:00,batch_2025_01.csv
T001428,C00300,P0043,2025-05-25,$564.84,3,WELCOME5,2025-05-26 04:00:00,batch_2025_01.csv
T004769,C00200,P0111,06/11/2025,40.36,5,WELCOME5,2025-06-12 01:00:00,batch_2025_01.csv
T002489,C00374,P0058,2025-07-26,$438.51,1,,2025-07-27 09:00:00,batch_2025_01.csv
T003406,C00382,P0001,2025-05-26,$17.92,3,SAVE10,2025-05-26 15:00:00,batch_2025_01.csv
T003400,C00209,P0069,2025-01-15,312.39,5,,2025-01-16 03:00:00,batch_2025_01.csv
T004240,C00271,P0069,08/19/2025,319.82,5,SAVE10,2025-08-20 18:00:00,batch_2025_01.csv
T000784,C00311,P0012,2025-05-10,12.78,3,,2025-05-11 16:00:00,batch_2025_01.csv
T003288,C00458,P0073,2025-04-25,526.82,2,,2025-04-26 16:00:00,batch_2025_01.csv
T004440,C00397,P0075,2025-03-28,$613.82,5,,2025-03-29 14:00:00,batch_2025_01.csv
T003270,C00311,P0121,2019-13-40,134.46,5,,2025-04-12 23:00:00,batch_2025_01.csv
T002177,C00157,P0081,06/29/2025,437.27,4,,2025-06-29 09:00:00,batch_2025_01.csv
T000088,C00405,P0127,2025-05-22,31.45,5,,2025-05-23 13:00:00,batch_2025_01.csv
T004117,C00391,P0105,2025-06-26,180.53,4,SAVE10,2025-06-27 02:00:00,batch_2025_01.csv
T003523,C00023,P0059,03/09/2025,$209.41,4,,2025-03-10 14:00:00,batch_2025_01.csv
T003696,C00063,P0124,2025-06-13,$350.89,1,,2025-06-14 17:00:00,batch_2025_01.csv
T002340,C00031,P0123,2025-07-27,724.66,2,,2025-07-27 09:00:00,batch_2025_01.csv
T001094,C00468,P0058,2025-04-20,$29.41,2,SAVE10,2025-04-21 01:00:00,batch_2025_01.csv
T003583,C00095,P0047,2025-08-22,,3,SAVE10,2025-08-22 05:00:00,batch_2025_01.csv
T003964,C00287,P0127,2025-01-15,416.97,2,,2025-01-16 07:00:00,batch_2025_01.csv
T002734,C00089,P0051,2025-07-07,$468.02,1,WELCOME5,2025-07-08 22:00:00,batch_2025_01.csv
T001828,C00343,P0149,2025-03-09,234.69,4,,2025-03-09 01:00:00,batch_2025_01.csv
T003202,C00135,P0070,2025-06-13,538.17,4,,2025-06-13 12:00:00,batch_2025_01.csv
T003055,C00242,P0084,2025-05-15,$780.76,5,,2025-05-15 13:00:00,batch_2025_01.csv
T003388,C00030,P0148,06/30/2025,474.08,2,WELCOME5,2025-07-01 20:00:00,batch_2025_01.csv
T001148,C99999,P0091,2025-05-19,$322.17,1,,2025-05-20 04:00:00,batch_2025_01.csv
T004887,C00318,P0006,2025-08-21,$356.58,3,,2025-08-21 07:00:00,batch_2025_01.csv
T003545,C00493,P0149,07/15/2025,571.52,3,,2025-07-16 10:00:00,batch_2025_01.csv
T001590,C00464,P0062,08/23/2025,596.36,2,,2025-08-23 22:00:00,batch_2025_01.csv
T001687,C00238,P0014,02/28/2025,585.86,2,WELCOME5,2025-03-01 13:00:00,batch_2025_01.csv
T002874,C00107,P0143,03/02/2025,330.46,3,,2025-03-03 01:00:00,batch_2025_01.csv
T002970,C00417,P0104,2025-03-17,115.31,3,,2025-03-17 02:00:00,batch_2025_01.csv
T004914,C00493,P0028,2025-01-18,701.88,3,SAVE10,2025-01-18 07:00:00,batch_2025_01.csv
