product_id,product_name,category,unit_price
P0001,Product 1,home,123.73
P0002,Product 2,sports,42.16
P0003,Product 3,electronics,207.22
P0004,Product 4,toys,298.94
P0005,Product 5,apparel,21.16
P0006,Product 6,apparel,354.94
P0007,Product 7,toys,430.51
P0008,Product 8,electronics,345.26
P0009,Product 9,apparel,394.97
P0010,Product 10,toys,296.95
P0011,Product 11,home,215.44
P0012,Product 12,sports,116.28
P0013,Product 13,home,454.66
P0014,Product 14,home,40.35
P0015,Product 15,home,397.35
P0016,Product 16,sports,375.73
P0017,Product 17,sports,460.99
P0018,Product 18,grocery,66.56
P0019,Product 19,toys,155.53
P0020,Product 20,grocery,471.62
P0021,Product 21,sports,272.29
P0022,Product 22,grocery,44.82
P0023,Product 23,electronics,445.26
P0024,Product 24,toys,164.55
P0025,Product 25,apparel,17.8
P0026,Product 26,home,481.15
P0027,Product 27,sports,295.63
P0028,Product 28,electronics,499.79
P0029,Product 29,toys,411.6
P0030,Product 30,sports,24.91
P0031,Product 31,home,237.9
P0032,Product 32,toys,223.9
P0033,Product 33,apparel,94.84
P0034,Product 34,sports,220.76
P0035,Product 35,grocery,484.68
P0036,Product 36,grocery,177.24
P0037,Product 37,apparel,163.92
P0038,Product 38,electronics,429.58
P0039,Product 39,apparel,208.76
P0040,Product 40,grocery,147.67
P0041,Product 41,grocery,407.72
P0042,Product 42,sports,23.17
P0043,Product 43,electronics,160.69
P0044,Product 44,apparel,62.38
P0045,Product 45,grocery,433.13
P0046,Product 46,electronics,330.54
P0047,Product 47,sports,233.68
P0048,Product 48,electronics,97.85
P0049,Product 49,apparel,313.2
P0050,Product 50,grocery,314.58
P0051,Product 51,electronics,105.76
P0052,Product 52,sports,69.85
P0053,Product 53,apparel,221.87
P0054,Product 54,toys,244.93
P0055,Product 55,electronics,486.71
P0056,Product 56,sports,400.66
P0057,Product 57,toys,83.4
P0058,Product 58,sports,11.77
P0059,Product 59,grocery,51.14
P0060,Product 60,electronics,233.42
P0061,Product 61,electronics,325.62
P0062,Product 62,home,251.7
P0063,Product 63,toys,149.47
P0064,Product 64,toys,140.35
P0065,Product 65,grocery,490.22
P0066,Product 66,home,231.11
P0067,Product 67,home,194.88
P0068,Product 68,sports,256.58
P0069,Product 69,home,432.69
P0070,Product 70,apparel,387.47
P0071,Product 71,grocery,173.24
P0072,Product 72,sports,137.25
P0073,Product 73,electronics,145.01
P0074,Product 74,apparel,419.55
P0075,Product 75,sports,499.46
P0076,Product 76,grocery,433.3
P0077,Product 77,grocery,271.6
P0078,Product 78,apparel,169.56
P0079,Product 79,sports,191.72
P0080,Product 80,apparel,435.45
P0081,Product 81,toys,123.21
P0082,Product 82,grocery,120.61
P0083,Product 83,grocery,26.61
P0084,Product 84,toys,239.12
P0085,Product 85,grocery,196.11
P0086,Product 86,toys,397.23
P0087,Product 87,toys,490.5
P0088,Product 88,grocery,482.59
P0089,Product 89,home,253.63
P0090,Product 90,sports,169.34
P0091,Product 91,electronics,437.72
P0092,Product 92,grocery,54.36
P0093,Product 93,grocery,12.6
P0094,Product 94,home,207.94
P0095,Product 95,toys,485.13
P0096,Product 96,electronics,237.4
P0097,Product 97,apparel,172.59
P0098,Product 98,toys,201.75
P0099,Product 99,electronics,426.62
P0100,Product 100,toys,430.37
P0101,Product 101,grocery,477.3
P0102,Product 102,toys,360.77
P0103,Product 103,grocery,436.83
P0104,Product 104,electronics,310.64
P0105,Product 105,home,317.42
P0106,Product 106,apparel,498.73
P0107,Product 107,toys,49.74
P0108,Product 108,electronics,381.38
P0109,Product 109,toys,436.93
P0110,Product 110,grocery,87.35
P0111,Product 111,apparel,452.19
P0112,Product 112,electronics,165.57
P0113,Product 113,electronics,150.22
P0114,Product 114,apparel,218.19
P0115,Product 115,home,267.93
P0116,Product 116,sports,342.49
P0117,Product 117,home,89.14
P0118,Product 118,electronics,306.7
P0119,Product 119,grocery,311.76
P0120,Product 120,home,251.35
P0121,Product 121,sports,75.84
P0122,Product 122,grocery,320.76
P0123,Product 123,grocery,131.39
P0124,Product 124,electronics,449.96
P0125,Product 125,grocery,451.1
P0126,Product 126,toys,275.57
P0127,Product 127,electronics,223.66
P0128,Product 128,apparel,493.89
P0129,Product 129,apparel,321.27
P0130,Product 130,grocery,346.71
P0131,Product 131,grocery,423.43
P0132,Product 132,home,499.69
P0133,Product 133,grocery,57.79
P0134,Product 134,grocery,288.1
P0135,Product 135,sports,151.46
P0136,Product 136,toys,151.14
P0137,Product 137,toys,200.92
P0138,Product 138,electronics,285.13
P0139,Product 139,toys,390.26
P0140,Product 140,electronics,455.76
P0141,Product 141,toys,250.88
P0142,Product 142,apparel,388.99
P0143,Product 143,home,305.5
P0144,Product 144,apparel,113.41
P0145,Product 145,home,312.34
P0146,Product 146,toys,379.01
P0147,Product 147,toys,342.02
P0148,Product 148,home,315.98
P0149,Product 149,toys,324.94
P0150,Product 150,apparel,395.36
